Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 16,,Fri,2020-08-07,20:00 (15:00),Manchester City eng,2.3,2–1,0.5,es Real Madrid,,Etihad Stadium,Felix Brych,Match Report,Leg 2 of 2; Manchester City won
Round of 16,,Fri,2020-08-07,21:00 (15:00),Juventus it,1.9,2–1,1.1,fr Lyon,,Allianz Stadium,Felix Zwayer,Match Report,Leg 2 of 2; Lyon won
Round of 16,,Sat,2020-08-08,21:00 (15:00),Barcelona es,1.2,3–1,2.0,it Napoli,,Camp Nou,Cüneyt Çakιr,Match Report,Leg 2 of 2; Barcelona won
Round of 16,,Sat,2020-08-08,21:00 (15:00),Bayern Munich de,2.9,4–1,1.0,eng Chelsea,,Allianz Arena,Ovidiu Hațegan,Match Report,Leg 2 of 2; Bayern Munich won
Quarter-finals,,Wed,2020-08-12,21:00 (15:00),Atalanta it,0.8,1–2,2.6,fr Paris S-G,,Estádio do Sport Lisboa e Benfica (Neutral Site),Anthony Taylor,Match Report,
Quarter-finals,,Thu,2020-08-13,21:00 (15:00),RB Leipzig de,0.5,2–1,1.0,es Atlético Madrid,,Estádio José Alvalade (Neutral Site),Szymon Marciniak,Match Report,
Quarter-finals,,Fri,2020-08-14,20:00 (15:00),Barcelona es,1.3,2–8,4.5,de Bayern Munich,,Estádio do Sport Lisboa e Benfica (Neutral Site),Damir Skomina,Match Report,
Quarter-finals,,Sat,2020-08-15,20:00 (15:00),Manchester City eng,2.4,1–3,1.1,fr Lyon,,Estádio José Alvalade (Neutral Site),Danny Makkelie,Match Report,
Semi-finals,,Tue,2020-08-18,20:00 (15:00),RB Leipzig de,0.8,0–3,2.8,fr Paris S-G,,Estádio do Sport Lisboa e Benfica,Björn Kuipers,Match Report,
Semi-finals,,Wed,2020-08-19,20:00 (15:00),Lyon fr,1.6,0–3,3.0,de Bayern Munich,,Estádio José Alvalade,Antonio Matéu Lahoz,Match Report,
Final,,Sun,2020-08-23,20:00 (15:00),Paris S-G fr,1.8,0–1,1.0,de Bayern Munich,,Estádio do Sport Lisboa e Benfica,Daniele Orsato,Match Report,
